"Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","[Attribute][Business Glossary]Domain","[Attribute][Business Glossary]Equivalent Phrases","[Attribute][Business Glossary]System-Table-Field"
"Pacing Res Indicator (APS)","The pacing resource indicator is used by to tell AVYX planning system which standard time should be used for scheduling.
 	L= standard labor time
 	P= standard process time
 	S= standard set up time
""	Pacing Resource Indicator- The pacing resource indicator will default to ""L"" for labor time. 
	
 ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-OPER_ROUTING-PACING_RES_IND"
"Catalog Group","Catalog grouping for GDS","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZCATALOGGROUP"
"BOM component","Material number of the components that you enter, change or display as part of the BOM. A master record is usually maintained in the system for a component.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-IDNRK"
"SHIPMENT NUMBER","Shipped to DC- Marked for Store, etc.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Prod Sub Category (IBP)","Indicates the Prod Sub Category of the product 

Note: Not applicable for Placeholder Product IDs.

Ex Values: Sweats, Tee, Pants","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-ZZPRODSUBCATG"
"Sales district","A geographical sales district or region.","Draft","","Sales district;","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Sales district","MDG-KNVV-FSH_KVGR6"
"Acct Unit (APS)","Accouting Unit","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-ACCT UNIT"
"Case Dispatch Unit Indicator (APS)"," Case Dispatch Unit Indicator is set to N","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-CASE_DISPATCH_UNIT_IND"
"Purchase Order Currency","Key for the currency on which an order placed with a supplier is based.","Approved","","","","Kennedy.Waiguru@hanes.com:Kennedy Waiguru - Sr Procurement Analyst;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","PO Currency","MDG-LFM1-WAERS"
"Fashion Grade","Used to classify materials according to the duration and frequency of their sales period.
HBI will use to denote a good, better, best type grading.","Approved","","","","Melissa.Doll@hanes.com:PRODUCT DEV-Activewear Melissa Doll (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-FASHGRD"
"Rounding value for purchase order quantity","Defined as the number of selling units (by garment) in a standard case. It is utilized to determine the quantity of product delivered from manufacturing to HBI distribution centers.","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-BSTRF"
"Telephone number","Telephone numbmer, consisting of dialing code and number, but without the country code. If the telephone number consists of a company number and an extension, the extension must be entered in the field extension. Use Telephone number, as it must be dialed from within the country.","Approved","","","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Phone No","MDG-KNA1-TEL_NUMBER"
"Planning System  Code (APS)","The planning system code will help insure that boms and routings that are attached to a path are compliant with the planning system that will plan that path.  
 	R- Garments that are planned through Rhythm (Casualwear and  Printables)
 	A- Cut parts and garments that are planned through AVYX (Champion)
 	N- Fabrics, purchased supplies, etc (Casualwear, Printables and Champion) and Casualwear and Printables cut parts. 
 ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-MFG_PATH-PLANNING_SYSTEM_CD"
"Plan End Date (APS)","Planning End Date","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU_REVISION-PLAN_END_DATE"
"Sizing Table (PLM)","The Sizing table is a collection attributes associated with the set of sizes for a specific product.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill;","","Material-Product","","PLM-Product-hbiGarmentSizeTable"
"Customer Partner Function","The Master is created for the Primary Vendor or the Factory who manufactures and delivers the goods to the DC or customer. The same vendor can have a different Ordering Address Party or an Invoicing party as applicable. 

A Partner Function describes alternative Vendor characteristics, such as different factory addresses or payment account information.  This eliminates the need for multiple vendor masters for the same vendor.   

Partner functions are used to define the rights and responsibilities of each business partner in a business transaction.","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNVP-PARVW, MDG-ZTSA_CUST_XREF-PARVW"
"Prod feature toeseam","Product feature representing toe seam","Approved","","","","Lane.Bryant@hanes.com:PRODUCT DEV Lane Bryant (Sr Mgr);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPRODFEATURE_TOESEAM"
"Color  Code (APS)","A system of letters numbers, or symbols into which normal language is converted to allow the hue of a HBI product to be communicated ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-COLOR-COLOR_CD, APS-SKU-COLOR_CD"
"SELLING STYLE","Assigned indicator for garment","Approved","","","","Amy.Greeson@hanes.com:GROWTH TEAM-Champion No America Amy Greeson (Male);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZSELLSTYLE"
"BOM Item Number","This number refers to the sequence of BOM components.
In Customizing for BOMs, you can define a default item increment (interval between item numbers) for each user by choosing Define User-Specific Settings.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-POSNR"
"Previous header counter","Previous header counter","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STKO-VGKZL"
"Bank Account Name","Here you can enter another name that the payment program can use if the name of the account holder is not the same as the name of the Business Partner.","Approved","","","","Steven.Caudill@hanes.com:Steven Caudill-Sr Mgr Global Transaction Services;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Bank Name","MDG-BUT0BK-KOINH"
"Platform","Describes the merchandising inventory stock
EX VALUES:  Lifestyle, Athletics","Approved","","","","Amy.Greeson@hanes.com:GROWTH TEAM-Champion No America Amy Greeson (Male);","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZPLATFORM"
"Zipcode (APS)","A trademark for a mail delivery system for the entity that se A trademark for a mail delivery system for the entity that sells products.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-ZIPCODE"
"Target Currency (IBP)","Conversion which we want to convert to. Ex: We have sales valu in EUR and you want to conver to USD then CURRTOID will be USD","Approved","","","","","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","IBP-Exchange Rate-CURRTOID"
"Inner Pack  Code (APS)","A set of products relating to a finished product that are packaged together ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-INNER_PACK_CD"
"Irregular Selling SKU","Selling SKU used for Irregular Items","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-ZZIRRSELLSKU"
"REQUESTED DELIVERY DATE","Requested Delivery Date: date the customer has requested HBI ship the order Start Ship Date","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Nrf Color Size Indicator (APS)","A system of letters numbers, or symbols into which normal language is converted to allow the hue of a HBI product to be communicated ","Approved","","","","","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","APS-CORP_DIVISION-NRF_COLOR_SIZE_IND"
"Customer Sales Organization","An organizational unit responsible for the sale of certain products.
Indicates primary selling channel for the product . An organizational unit responsible for the sale of certain products or services. The responsibility of a sales organization may include legal liability for products and customer claims.
You can assign any number of distribution channels and divisions to a sales organization. A particular combination of sales organization, distribution channel, and division is known as a sales area.","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Sales Org","MDG-MVKE-VKORG, MDG-KNVV-VKORG"
"Date from w listed in the distribution center","Date from which the material is listed in the distribution center. The date is restricted by the validity period that has generally been defined at material level, that is, on the Basic Data screen.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MAW1-LDVZL"
"Sort key within a logical item","Sort key within a logical item","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STAS-LPSRT"
"Plant where BOM or alternative/variant created","Plant in which the first variant or alternative of a BOM was created.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STKO-WRKAN"
"Evaluated Receipt Settlement (ERS)","Indicates whether an invoice is generated automatically when a valuated goods receipt for ordered materials or services has been posted.
Use
You set this indicator if you do not expect the supplier to send you an invoice. Instead, the invoice is to be generated by the system based on the data available in the purchase order and the goods receipt document.
You can use the indicator Evaluated Receipt Settlement (ERS) for the procurement of materials and services (external services or lean services).
(In the case of services performed, you create a service entry sheet. Once it has been approved, the system creates a goods receipt in the background.)","Approved","","","","Kennedy.Waiguru@hanes.com:Kennedy Waiguru - Sr Procurement Analyst;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","ERS","MDG-LFM1-XERSY"
